[1, 0, 1, 0, 0, 0, 3, 0, 2, 64, 128, 64] 0
[1, 0, 1, 0, 0, 1, 3, 0, 1, 32, 10, 20] 0
[1, 0, 0, 0, 0, 1, 4, 0, 2, 64, 128, 64] 0
[1, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0] 0.011020000000000073
[1, 0, 1, 1, 1, 0, 2, 1, 0, 0, 0, 0] 0.033299999999999996
[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 4.0, 128.0, 0.0, 0.0] 0
[1, 0, 1, 1, 1, 0, 4, 0, 1, 64, 64, 64] 0
[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 0.0, 4.0, 8.0, 128.0, 0.0] 0.0055
[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 3.0, 20.0, 8.0, 128.0] 0.03352000000000007
[1, 0, 1, 0, 0, 0, 2, 0, 3, 20, 128, 128] 0
[1, 0, 0, 0, 0, 0, 4, 0, 2, 16, 128, 128] 0.03917999999999992
[1, 0, 1, 1, 1, 0, 3, 1, 0, 0, 0, 0] 0.03697999999999993
[1, 0, 0, 0, 0, 0, 1, 0, 2, 64, 32, 128] 0
[1, 0, 0, 0, 0, 1, 3, 0, 1, 64, 128, 32] 0
[1, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0] 0.03567999999999993
[1, 0, 1, 0, 0, 0, 4, 0, 4, 32, 128, 10] 0
[1, 0, 0, 0, 0, 1, 3, 0, 3, 20, 20, 128] 0
[1, 1, 1, 1, 1, 0, 3, 1, 0, 0, 0, 0] 0.0102
[1, 0, 0, 0, 0, 0, 2, 0, 1, 64, 0, 128] 0.045
[1, 0, 0, 0, 0, 1, 2, 0, 1, 20, 10, 64] 0.1734799999999999
[1, 1, 1, 0, 0, 0, 4, 1, 0, 0, 0, 0] 0.0058000000000000005
[1, 0, 1, 1, 1, 0, 4, 0, 4, 32, 8, 0] 0.004860000000000036
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 2.0, 128.0, 0.0, 128.0] 0
[1, 1, 1, 0, 0, 1, 3, 1, 0, 0, 0, 0] 0.008499999999999999
[1, 1, 0, 0, 0, 1, 2, 0, 1, 8, 10, 8] 0.41915789473684206
[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 4.0, 8.0, 128.0, 128.0] 0
[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0] 0.04032000000000007
[1, 0, 0, 0, 0, 0, 3, 0, 4, 32, 8, 16] 0
[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 4.0, 8.0, 128.0, 0.0] 0
[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0] 0.006599999999999999
