[1, 0.0, 1.0, 1.0, 1.0, 1.0, 3.0, 0.0, 2, 8, 8.0, 32.0, 15462.8] 0.64628
[1.0, 0.0, 1, 1.0, 1.0, 1.0, 4.0, 0.0, 4.0, 10.0, 8.0, 64.0, 13185.4] 0.37781
[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 8, 10.0, 0.0, 15614.8] 0.66148
[1.0, 0.0, 0, 0.0, 0.0, 0.0, 4.0, 0.0, 1, 8.0, 10.0, 32.0, 18365.8] 0.93658
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 3.0, 10.0, 8.0, 10.0, 13390.8] 0.40861999999999987
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1, 8.0, 8, 10.0, 16461.2] 0.7461200000000001
[1, 0.0, 0.0, 0, 0.0, 0.0, 4, 0.0, 2.0, 8.0, 10, 20.0, 17856.6] 0.8856599999999999
[1.0, 0.0, 0, 0.0, 0.0, 1.0, 4.0, 0.0, 1.0, 8, 16.0, 10.0, 13488.8] 0.4233199999999999
[1.0, 0.0, 1.0, 0, 0.0, 0.0, 3.0, 0.0, 1.0, 10.0, 8.0, 0.0, 14565.4] 0.5565399999999999
[1.0, 0.0, 0.0, 0.0, 0.0, 0, 4.0, 0.0, 2.0, 8.0, 10, 0, 18759.8] 0.9759799999999998
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 3.0, 8.0, 10.0, 32.0, 12968.4] 0.34525999999999996
[1.0, 1.0, 0.0, 0, 0.0, 1.0, 3.0, 0.0, 1, 10.0, 10, 0.0, 12558.2] 0.2837300000000001
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 2, 8, 10.0, 0.0, 18759.8] 0.9759799999999998
[1.0, 0.0, 0.0, 0.0, 0.0, 1, 4.0, 0.0, 2, 8, 8.0, 0.0, 17704.2] 0.8704200000000001
[1.0, 0, 1, 1.0, 1.0, 1.0, 2, 0.0, 1.0, 8.0, 10.0, 0.0, 15191.0] 0.6191
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 2.0, 8.0, 8.0, 10.0, 18478.8] 0.94788
[1.0, 0.0, 1.0, 1.0, 1.0, 0, 4, 0.0, 1.0, 8.0, 10.0, 128.0, 14842.8] 0.5842799999999999
[1, 0, 0, 0, 0.0, 0, 4, 0.0, 1.0, 8.0, 8.0, 20.0, 18143.2] 0.91432
[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 4, 8.0, 8.0, 16.0, 14177.2] 0.5177200000000001
[1.0, 0, 1, 0.0, 0, 0, 4.0, 0.0, 2.0, 8, 10, 128.0, 14397.6] 0.53976
[1, 0.0, 0.0, 0.0, 0.0, 0, 4.0, 0.0, 1.0, 10, 20.0, 32.0, 12407.6] 0.26114000000000004
[1, 0.0, 0.0, 0.0, 0.0, 0, 4.0, 0.0, 3.0, 20.0, 8.0, 32.0, 9980.0] 0.06533333333333334
[1, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 2.0, 8.0, 8.0, 64.0, 19505.4] 1.0
[1, 0.0, 0, 0.0, 0.0, 1.0, 2, 0.0, 1.0, 8.0, 8.0, 16.0, 15963.6] 0.6963600000000001
[1.0, 0.0, 0.0, 0.0, 0.0, 0, 4.0, 0, 2, 8.0, 10.0, 0.0, 18759.8] 0.9759799999999998
[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 10.0, 8, 0.0, 15695.2] 0.6695200000000001
[1, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 1.0, 8, 10.0, 20, 17921.4] 0.8921400000000002
[1.0, 0.0, 1, 0.0, 0.0, 0.0, 4.0, 0.0, 2.0, 10.0, 8, 0.0, 14085.4] 0.50854
[1.0, 0.0, 0.0, 0.0, 0.0, 0, 3, 0.0, 2.0, 8.0, 10.0, 64.0, 18690.8] 0.9690799999999999
[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 2.0, 10.0, 8.0, 32.0, 13829.6] 0.47444000000000003
