[1.0, 0.0, 1, 1.0, 1.0, 0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1, 10.0, 424574.6] 1.0
[1.0, 0.0, 1, 1, 1.0, 0, 0, 0.0, 1, 0.0, 1.0, 0.0, 1024, 10, 422519.2] 0.3
[1.0, 0, 0.0, 1, 1, 0, 0, 0.0, 1, 0, 0.0, 0, 1024, 10.0, 421959.2] 0.19184000000000231
[1.0, 0.0, 1, 1, 1.0, 0, 0.0, 0.0, 1, 0, 0, 0.0, 256, 10, 421348.0] 0.0696
[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 60.0, 1.0, 8.0, 123632.6] 0
[1, 0, 1, 1, 1.0, 0.0, 0, 0.0, 1.0, 0, 1.0, 0, 4, 10, 422067.4] 0.21348000000000467
[1.0, 1.0, 1, 1, 1.0, 0.0, 0, 0, 1, 0, 0.0, 10, 1.0, 10.0, 420823.8] 0
[1.0, 1.0, 0.0, 1, 1, 0.0, 0.0, 0.0, 1, 0, 1.0, 0, 256, 10.0, 422061.4] 0.21228000000000466
[1, 0, 0, 0.0, 1, 0, 0.0, 0, 0.0, 1, 0, 100, 1024, 10, 303065.4] 0
[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 10.0, 424574.6] 1.0
[1.0, 0, 1.0, 1, 1, 0.0, 0.0, 0.0, 1, 0, 1, 0, 1, 10, 424574.6] 1.0
[1, 1, 0, 1, 1, 0.0, 0, 0.0, 1, 0, 0, 60.0, 64, 10, 416135.6] 0
[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 20.0, 4096.0, 4.0, 9144.8] 0
[1, 0.0, 1, 1, 1.0, 0, 0.0, 0, 1, 0, 0.0, 30.0, 1, 10.0, 420450.4] 0
[1.0, 0, 0.0, 1, 1.0, 0, 0.0, 0, 1, 0, 0, 0, 4096.0, 10, 421383.2] 0.07664000000000233
[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 90.0, 4096.0, 4.0, 12103.2] 0
[1.0, 1.0, 0.0, 1, 1, 0.0, 0.0, 0.0, 1, 0, 1.0, 0, 256, 10.0, 422061.4] 0.21228000000000466
[1, 0, 0, 1, 1, 0, 0.0, 0.0, 1, 0, 1.0, 0, 16, 10, 421936.6] 0.18731999999999535
[1, 0.0, 1, 1, 1, 0, 0, 0, 1.0, 0.0, 1, 50, 1, 10, 420763.0] 0
[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 8.0, 85388.6] 0
[1, 1.0, 0, 1, 1.0, 0.0, 0.0, 0, 1, 0.0, 1, 40, 1, 10, 421557.6] 0.11151999999999535
[1, 1.0, 0, 1.0, 1, 0.0, 0.0, 0.0, 1.0, 0.0, 1, 0, 256, 10.0, 422061.4] 0.21228000000000466
[1.0, 0, 1, 1.0, 1, 0.0, 0.0, 0, 1, 0.0, 1, 0, 1, 10.0, 424574.6] 1.0
[1, 1.0, 1, 1, 1, 0.0, 0, 0, 1, 0.0, 0, 0, 128.0, 10, 422401.4] 0.28028000000000464
[1, 1, 1, 1, 1, 0, 0.0, 0, 0, 1, 0, 40, 256, 10, 302796.4] 0
[1.0, 1.0, 1, 1.0, 1, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0, 64.0, 10.0, 421857.4] 0.17148000000000466
[1, 0.0, 1, 1, 1.0, 0.0, 0, 0, 1, 0.0, 1, 0, 1, 10.0, 424574.6] 1.0
[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1, 80.0, 16.0, 10.0, 302888.2] 0
[1.0, 1, 1, 1, 1, 0.0, 0, 0.0, 1.0, 0.0, 0.0, 10.0, 1, 10.0, 420823.8] 0
[1, 0, 1, 1.0, 1, 0.0, 0.0, 0.0, 1, 0.0, 1, 0, 1, 10.0, 424574.6] 1.0
