[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 70, 1024, 8] 0.9351664000000001
[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 70, 1024, 10] 0.7762475
[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 30, 4096, 10] 0.7807
[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 30, 4096, 10] 0.78141
[1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 4096.0, 6.0] 0.9482271999999999
[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 30, 4096, 10] 0.7409399999999999
[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 30, 4096, 10] 0.7807
[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 30, 4096, 8] 0.7776225000000001
[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 4096, 8] 1.0
[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 20, 4096, 8] 0.7847275
[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 10, 4096, 10] 0.804176
[1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 4096, 8] 0.8858112
[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 50, 2048, 8] 0.934424
[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 40, 2048, 8] 0.7759674999999999
[1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 40, 2048, 8] 0.775595
[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 10.0] 1.0
[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2048, 6] 0.9475392
[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 40, 4096, 8] 0.77511
[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 20, 4096, 10] 0.7837399999999999
[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 20, 4096, 10] 0.7640875
[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 256, 8] 0.9370191999999999
[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 40, 4096, 6] 0.6250200000000001
[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 10.0] 1.0
[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 30, 2048, 6] 0.6324399999999999
[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 100.0, 4096.0, 10.0] 0.770945
[1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4096.0, 10.0] 1.0
[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 20, 1024, 10] 0.7827899999999999
[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 10, 4096, 8] 0.730235
[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2048.0, 6.0] 0.950056
[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 8.0] 1.0
