[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0] 0.0
[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0] 0.0
[1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1] 0.0
[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1] 0.0
[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1] 0.0
[0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0] 0.0
[1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0] 0.0
[1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1] 0.0
[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0] 0.0
[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0] 0.0
[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0] 0.0
[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1] 0.0
[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0] 0.0
[1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0] 0.0
[1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1] 0.0
[0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0] 0.0
[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1] 0.0
[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0] 0.0
[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0] 0.328717166666656
[1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0] 0.0
[1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1] 0.0
[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0] 0.0
[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1] 0.0
[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1] 0.0
[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1] 0.0
[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0] 0.0
[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0] 0.0
[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0] 0.0
[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0] 0.328717166666656
[0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1] 0.0
[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1] 0.0
[1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0] 0.0
[1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0] 0.0
[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0] 0.0
[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0] 0.0
[0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1] 0.0
[1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0] 0.0
[1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1] 0.0
[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0] 0.0
[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1] 0.0
