[1.0, 1, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 3.0, 10.0, 10.0, 0.0, 13362.8] 0
[1.0, 0.0, 0.0, 0.0, 0, 0.0, 3.0, 0.0, 1.0, 10, 10.0, 20, 15090.0] 0
[1.0, 0, 0, 0.0, 0.0, 1.0, 4.0, 0.0, 1.0, 10, 8.0, 16.0, 15375.2] 0
[1.0, 1.0, 1.0, 1, 1.0, 1, 4.0, 0.0, 1.0, 8.0, 20.0, 0.0, 10709.2] 0
[1.0, 0.0, 0, 0.0, 0.0, 0, 4.0, 0.0, 2.0, 8, 10, 8.0, 17975.6] 0
[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 3.0, 128.0, 0.0, 10.0, 8879.2] 0
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 3.0, 10, 10.0, 0.0, 13784.6] 0
[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 8.0, 8.0, 0, 15132.0] 0
[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0, 4.0, 8.0, 8, 0, 15997.2] 0
[1, 0, 1.0, 0.0, 0.0, 1, 2.0, 0.0, 2, 8.0, 8.0, 10.0, 15619.6] 0
[1.0, 1, 1.0, 0.0, 0.0, 1.0, 4.0, 0.0, 4.0, 8.0, 16.0, 0.0, 11010.4] 0
[1.0, 0.0, 0.0, 0.0, 0, 0.0, 4.0, 0.0, 1, 10, 0.0, 20, 10236.2] 0
[1.0, 0.0, 1, 1.0, 1.0, 1.0, 2.0, 0, 2.0, 8.0, 10.0, 128.0, 14432.6] 0
[1, 0.0, 1.0, 0.0, 0.0, 1, 3.0, 0.0, 1.0, 8.0, 8.0, 0.0, 16169.4] 0
[1.0, 0.0, 1, 0.0, 0.0, 1.0, 4.0, 0.0, 1, 10.0, 20.0, 16, 9612.4] 0
[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 10.0, 20.0, 0.0, 10894.8] 0
[1.0, 0.0, 0.0, 0.0, 0.0, 0, 4.0, 0.0, 2.0, 10.0, 32.0, 8.0, 11747.0] 0
[1, 0, 1, 0.0, 0.0, 1.0, 4, 0.0, 3.0, 8.0, 8.0, 128, 14837.8] 0
[1.0, 0, 0, 0.0, 0.0, 0.0, 4.0, 0, 1.0, 10, 16, 8.0, 13547.8] 0
[1.0, 0.0, 0.0, 0, 0, 0.0, 3, 0.0, 2.0, 20, 10.0, 32.0, 11288.0] 0
[1.0, 1.0, 0.0, 0.0, 0.0, 0, 4.0, 0.0, 1.0, 8.0, 8.0, 0, 16018.4] 0
[1.0, 0, 0.0, 0.0, 0.0, 1.0, 4, 0, 1.0, 10.0, 10.0, 0.0, 15648.0] 0
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 1, 20.0, 16.0, 10.0, 9548.8] 0
[1, 0.0, 0, 0.0, 0.0, 0.0, 3, 0.0, 2, 10.0, 10.0, 64, 14551.8] 0
[1.0, 0.0, 0, 0.0, 0, 0.0, 4.0, 0.0, 4.0, 10.0, 16, 32, 10568.6] 0
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 3, 8.0, 8.0, 0, 14724.8] 0
[1.0, 1, 0, 0, 0.0, 0.0, 4.0, 0.0, 2.0, 8.0, 10.0, 128.0, 14734.2] 0
[1.0, 0, 1.0, 1.0, 1.0, 0.0, 2, 0.0, 2.0, 8.0, 8.0, 10.0, 15428.4] 0
[1, 0, 1.0, 0.0, 0.0, 0, 2.0, 0, 1.0, 10, 32, 0.0, 10543.8] 0
[1, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 2.0, 10.0, 16.0, 20.0, 12451.8] 0
